Comunidades y Ciudades Autónomas;Tipo de equipamiento;Total
Galicia;Viviendas con conexión de Banda Ancha;93,4
Galicia;Viviendas con conexión de banda ancha fija;76,8
Galicia;Viviendas con conexión solo a través de  banda ancha  móvil;16,6
Galicia;Viviendas con  teléfono fijo;62,2
Galicia;Viviendas con  teléfono móvil;98,9
Madrid, Comunidad de;Total Viviendas;2.358.131
Madrid, Comunidad de;Ordenadores de cualquier tipo: incluidos netbooks, tablets, de mano, etc.;89,4
Madrid, Comunidad de;Ordenadores de sobremesa o portátil (no incluye tablet);84,5
Madrid, Comunidad de;Ordenadores tipo Tablet;62,2
Madrid, Comunidad de;Viviendas que disponen de acceso a Internet;97,8
Madrid, Comunidad de;Viviendas con conexión de Banda Ancha;97,8
Madrid, Comunidad de;Viviendas con conexión de banda ancha fija;89,9
Madrid, Comunidad de;Viviendas con conexión solo a través de  banda ancha  móvil;7,9
Madrid, Comunidad de;Viviendas con  teléfono fijo;76,6
Madrid, Comunidad de;Viviendas con  teléfono móvil;99,4
Murcia, Región de;Total Viviendas;512.887
Murcia, Región de;Ordenadores de cualquier tipo: incluidos netbooks, tablets, de mano, etc.;82,4
Murcia, Región de;Ordenadores de sobremesa o portátil (no incluye tablet);77,7
Murcia, Región de;Ordenadores tipo Tablet;53,1
Murcia, Región de;Viviendas que disponen de acceso a Internet;96,9
Murcia, Región de;Viviendas con conexión de Banda Ancha;96,9
Murcia, Región de;Viviendas con conexión de banda ancha fija;85,8
Murcia, Región de;Viviendas con conexión solo a través de  banda ancha  móvil;11,2
Murcia, Región de;Viviendas con  teléfono fijo;44,6
Murcia, Región de;Viviendas con  teléfono móvil;99,8
Navarra, Comunidad Foral de;Total Viviendas;235.297
Navarra, Comunidad Foral de;Ordenadores de cualquier tipo: incluidos netbooks, tablets, de mano, etc.;86,3
Navarra, Comunidad Foral de;Ordenadores de sobremesa o portátil (no incluye tablet);81,8
Navarra, Comunidad Foral de;Ordenadores tipo Tablet;60,9
Navarra, Comunidad Foral de;Viviendas que disponen de acceso a Internet;96,4
Navarra, Comunidad Foral de;Viviendas con conexión de Banda Ancha;96,4
Navarra, Comunidad Foral de;Viviendas con conexión de banda ancha fija;85,3
Navarra, Comunidad Foral de;Viviendas con conexión solo a través de  banda ancha  móvil;11,2
Navarra, Comunidad Foral de;Viviendas con  teléfono fijo;67,3
Navarra, Comunidad Foral de;Viviendas con  teléfono móvil;99,1
País Vasco;Total Viviendas;781.710
País Vasco;Ordenadores de cualquier tipo: incluidos netbooks, tablets, de mano, etc.;83,9
País Vasco;Ordenadores de sobremesa o portátil (no incluye tablet);78,7
País Vasco;Ordenadores tipo Tablet;57,3
País Vasco;Viviendas que disponen de acceso a Internet;96,3
País Vasco;Viviendas con conexión de Banda Ancha;96,3
País Vasco;Viviendas con conexión de banda ancha fija;84,4
País Vasco;Viviendas con conexión solo a través de  banda ancha  móvil;12
País Vasco;Viviendas con  teléfono fijo;71,7
País Vasco;Viviendas con  teléfono móvil;99,6
Rioja, La;Total Viviendas;113.093
Rioja, La;Ordenadores de cualquier tipo: incluidos netbooks, tablets, de mano, etc.;78,4
Rioja, La;Ordenadores de sobremesa o portátil (no incluye tablet);74,5
Rioja, La;Ordenadores tipo Tablet;50,2
Rioja, La;Viviendas que disponen de acceso a Internet;94,3
Rioja, La;Viviendas con conexión de Banda Ancha;94,3
Rioja, La;Viviendas con conexión de banda ancha fija;78,1
