Clase de población;Comunidades y Ciudades Autónomas;Frecuencia de uso;Total
Usuarios de Internet en los últimos 12 meses (75 y más años);Andalucía;Han utilizado internet semanalmente (al menos una vez a la semana);89,7
Usuarios de Internet en los últimos 12 meses (75 y más años);Andalucía;Han usado Internet diariamente (al menos 5 días a la semana);66,9
Usuarios de Internet en los últimos 12 meses (75 y más años);Andalucía;Han utilizado internet varias veces al día;53,8
Usuarios de Internet en los últimos 12 meses (75 y más años);Aragón;Total;46.594
Usuarios de Internet en los últimos 12 meses (75 y más años);Aragón;Han utilizado Internet alguna vez;100
Usuarios de Internet en los últimos 12 meses (75 y más años);Aragón;Han utilizado Internet en los últimos 12 meses;100
Usuarios de Internet en los últimos 12 meses (75 y más años);Aragón;Han utilizado Internet en los últimos 3 meses;96,8
Usuarios de Internet en los últimos 12 meses (75 y más años);Aragón;Han utilizado internet semanalmente (al menos una vez a la semana);84,7
Usuarios de Internet en los últimos 12 meses (75 y más años);Aragón;Han usado Internet diariamente (al menos 5 días a la semana);70,5
Usuarios de Internet en los últimos 12 meses (75 y más años);Aragón;Han utilizado internet varias veces al día;58,6
Usuarios de Internet en los últimos 12 meses (75 y más años);Asturias, Principado de;Total;40.635
Usuarios de Internet en los últimos 12 meses (75 y más años);Asturias, Principado de;Han utilizado Internet alguna vez;100
Usuarios de Internet en los últimos 12 meses (75 y más años);Asturias, Principado de;Han utilizado Internet en los últimos 12 meses;100
Usuarios de Internet en los últimos 12 meses (75 y más años);Asturias, Principado de;Han utilizado Internet en los últimos 3 meses;96,1
Usuarios de Internet en los últimos 12 meses (75 y más años);Asturias, Principado de;Han utilizado internet semanalmente (al menos una vez a la semana);86,7
Usuarios de Internet en los últimos 12 meses (75 y más años);Asturias, Principado de;Han usado Internet diariamente (al menos 5 días a la semana);65,6
Usuarios de Internet en los últimos 12 meses (75 y más años);Asturias, Principado de;Han utilizado internet varias veces al día;62,9
Usuarios de Internet en los últimos 12 meses (75 y más años);Balears, Illes;Total;41.008
Usuarios de Internet en los últimos 12 meses (75 y más años);Balears, Illes;Han utilizado Internet alguna vez;100
Usuarios de Internet en los últimos 12 meses (75 y más años);Balears, Illes;Han utilizado Internet en los últimos 12 meses;100
Usuarios de Internet en los últimos 12 meses (75 y más años);Balears, Illes;Han utilizado Internet en los últimos 3 meses;96,9
Usuarios de Internet en los últimos 12 meses (75 y más años);Balears, Illes;Han utilizado internet semanalmente (al menos una vez a la semana);95,9
Usuarios de Internet en los últimos 12 meses (75 y más años);Balears, Illes;Han usado Internet diariamente (al menos 5 días a la semana);77,4
Usuarios de Internet en los últimos 12 meses (75 y más años);Balears, Illes;Han utilizado internet varias veces al día;68
Usuarios de Internet en los últimos 12 meses (75 y más años);Canarias;Total;68.528
Usuarios de Internet en los últimos 12 meses (75 y más años);Canarias;Han utilizado Internet alguna vez;100
Usuarios de Internet en los últimos 12 meses (75 y más años);Canarias;Han utilizado Internet en los últimos 12 meses;100
Usuarios de Internet en los últimos 12 meses (75 y más años);Canarias;Han utilizado Internet en los últimos 3 meses;100
Usuarios de Internet en los últimos 12 meses (75 y más años);Canarias;Han utilizado internet semanalmente (al menos una vez a la semana);81,5
Usuarios de Internet en los últimos 12 meses (75 y más años);Canarias;Han usado Internet diariamente (al menos 5 días a la semana);74,2
Usuarios de Internet en los últimos 12 meses (75 y más años);Canarias;Han utilizado internet varias veces al día;63,6
Usuarios de Internet en los últimos 12 meses (75 y más años);Cantabria;Total;22.651
Usuarios de Internet en los últimos 12 meses (75 y más años);Cantabria;Han utilizado Internet alguna vez;100
Usuarios de Internet en los últimos 12 meses (75 y más años);Cantabria;Han utilizado Internet en los últimos 12 meses;100
Usuarios de Internet en los últimos 12 meses (75 y más años);Cantabria;Han utilizado Internet en los últimos 3 meses;93,7
Usuarios de Internet en los últimos 12 meses (75 y más años);Cantabria;Han utilizado internet semanalmente (al menos una vez a la semana);91
Usuarios de Internet en los últimos 12 meses (75 y más años);Cantabria;Han usado Internet diariamente (al menos 5 días a la semana);70,8
Usuarios de Internet en los últimos 12 meses (75 y más años);Cantabria;Han utilizado internet varias veces al día;60
Usuarios de Internet en los últimos 12 meses (75 y más años);Castilla y León;Total;87.590
Usuarios de Internet en los últimos 12 meses (75 y más años);Castilla y León;Han utilizado Internet alguna vez;100
Usuarios de Internet en los últimos 12 meses (75 y más años);Castilla y León;Han utilizado Internet en los últimos 12 meses;100
Usuarios de Internet en los últimos 12 meses (75 y más años);Castilla y León;Han utilizado Internet en los últimos 3 meses;95,4
Usuarios de Internet en los últimos 12 meses (75 y más años);Castilla y León;Han utilizado internet semanalmente (al menos una vez a la semana);85
Usuarios de Internet en los últimos 12 meses (75 y más años);Castilla y León;Han usado Internet diariamente (al menos 5 días a la semana);68,6
Usuarios de Internet en los últimos 12 meses (75 y más años);Castilla y León;Han utilizado internet varias veces al día;58,7
Usuarios de Internet en los últimos 12 meses (75 y más años);Castilla-La Mancha;Total;40.277
Usuarios de Internet en los últimos 12 meses (75 y más años);Castilla-La Mancha;Han utilizado Internet alguna vez;100
Usuarios de Internet en los últimos 12 meses (75 y más años);Castilla-La Mancha;Han utilizado Internet en los últimos 12 meses;100
Usuarios de Internet en los últimos 12 meses (75 y más años);Castilla-La Mancha;Han utilizado Internet en los últimos 3 meses;83,3
Usuarios de Internet en los últimos 12 meses (75 y más años);Castilla-La Mancha;Han utilizado internet semanalmente (al menos una vez a la semana);66,5
Usuarios de Internet en los últimos 12 meses (75 y más años);Castilla-La Mancha;Han usado Internet diariamente (al menos 5 días a la semana);54,1
Usuarios de Internet en los últimos 12 meses (75 y más años);Castilla-La Mancha;Han utilizado internet varias veces al día;54,1
Usuarios de Internet en los últimos 12 meses (75 y más años);Cataluña;Total;299.793
Usuarios de Internet en los últimos 12 meses (75 y más años);Cataluña;Han utilizado Internet alguna vez;100
Usuarios de Internet en los últimos 12 meses (75 y más años);Cataluña;Han utilizado Internet en los últimos 12 meses;100
Usuarios de Internet en los últimos 12 meses (75 y más años);Cataluña;Han utilizado Internet en los últimos 3 meses;97,1
Usuarios de Internet en los últimos 12 meses (75 y más años);Cataluña;Han utilizado internet semanalmente (al menos una vez a la semana);90,6
